team_name,country_code,confederation,fifa_rank,fifa_points,wins_last_10_matches,losses_last_10_matches,draws_last_10_matches,win_rate_last_year,goals_scored_avg,goals_conceded_avg,clean_sheets_last_10,shots_per_game,shots_on_target_ratio,avg_player_rating,star_players_count,market_value_million_eur,experience_avg_caps,coach_experience_years,recent_form_score,possession_avg,passing_accuracy,host_advantage,travel_distance_avg,climate_similarity_score,winner,points_per_match_last_10,goal_difference_avg,performance_index,value_per_cap,dominance_score,shot_quality,defensive_solidity,rank_tier,log_market_value,conf_AFC,conf_CAF,conf_CONCACAF,conf_CONMEBOL,conf_OFC,conf_UEFA,rank_Developing,rank_Elite,rank_Mid,rank_Strong
Qatar,QAT,AFC,32,1458.6,1,7,2,0.253,1.26,1.98,2,6.5,0.289,70.4,2,210.0,17,7,3.9,47.1,76.9,0,13.0,0.6,0,0.5,-0.72,40.82,12.352941176470589,62.0,1.8784999999999998,0.2,Mid,5.351858133476067,True,False,False,False,False,False,False,False,True,False
Brazil,BRA,CONMEBOL,2,1797.9,6,1,3,0.766,2.66,0.93,3,19.7,0.548,88.3,4,1054.0,58,19,8.7,60.5,86.1,0,6.0,0.55,1,2.1,1.73,69.01499999999999,18.17241379310345,73.3,10.7956,0.3,Elite,6.961296045910167,False,False,False,True,False,False,False,True,False,False
Qatar,QAT,AFC,36,1548.8,3,4,3,0.441,0.8,1.49,0,7.1,0.355,70.1,0,208.0,35,6,5.2,49.2,77.0,0,8.5,0.36,0,1.2,-0.69,47.144999999999996,5.942857142857143,63.1,2.5204999999999997,0.0,Developing,5.342334251964811,True,False,False,False,False,False,True,False,False,False
Ecuador,ECU,CONMEBOL,21,1709.1,6,3,1,0.421,1.23,0.92,4,11.3,0.342,78.1,1,542.0,41,11,4.9,54.0,76.6,0,7.6,0.76,0,1.9,0.30999999999999994,48.695,13.21951219512195,65.3,3.8646000000000007,0.4,Mid,6.297109319933935,False,False,False,True,False,False,False,False,True,False
Croatia,CRO,UEFA,6,1664.9,6,2,2,0.558,1.42,0.83,2,14.4,0.478,81.6,3,602.0,51,17,5.7,50.4,80.1,0,5.3,0.66,0,2.0,0.59,54.08999999999999,11.803921568627452,65.25,6.8831999999999995,0.2,Elite,6.401917196727186,False,False,False,False,False,True,False,True,False,False
England,ENG,UEFA,2,1966.9,6,0,4,0.691,2.05,0.56,6,15.4,0.501,87.3,5,757.0,65,9,8.4,65.8,93.2,0,8.9,0.48,1,2.2,1.4899999999999998,66.865,11.646153846153846,79.5,7.7154,0.6,Elite,6.630683385642372,False,False,False,False,False,True,False,True,False,False
Ivory Coast,CIV,CAF,50,1551.0,1,5,4,0.401,1.22,1.82,1,7.8,0.303,72.7,2,216.0,16,4,3.9,44.5,73.0,0,9.1,0.46,1,0.7,-0.6000000000000001,43.105,13.5,58.75,2.3634,0.1,Developing,5.37989735354046,False,True,False,False,False,False,True,False,False,False
Italy,ITA,UEFA,9,1826.4,5,2,3,0.586,1.86,0.8,4,12.6,0.367,80.1,3,729.0,38,12,7.6,54.9,85.2,0,8.9,0.63,1,1.8,1.06,60.49499999999999,19.18421052631579,70.05,4.6242,0.4,Elite,6.593044534142437,False,False,False,False,False,True,False,True,False,False
Argentina,ARG,CONMEBOL,2,1818.9,6,1,3,0.757,2.16,0.94,3,17.0,0.504,83.3,3,941.0,61,22,8.5,57.0,85.0,0,7.5,0.57,1,2.1,1.2200000000000002,66.475,15.426229508196721,71.0,8.568,0.3,Elite,6.848005274576363,False,False,False,True,False,False,False,True,False,False
Argentina,ARG,CONMEBOL,4,1861.2,9,1,0,0.662,1.95,0.48,5,19.4,0.477,86.7,3,1134.0,45,10,8.2,56.4,86.8,0,6.3,0.76,1,2.7,1.47,65.66499999999999,25.2,71.6,9.253799999999998,0.5,Elite,7.034387929915503,False,False,False,True,False,False,False,True,False,False
Turkey,TUR,UEFA,40,1518.7,4,5,1,0.362,0.88,1.78,1,8.9,0.324,73.0,2,268.0,19,6,3.5,46.1,75.0,0,6.3,0.73,1,1.3,-0.9,41.419999999999995,14.105263157894736,60.55,2.8836000000000004,0.1,Developing,5.594711379601839,False,False,False,False,False,True,True,False,False,False
Serbia,SRB,UEFA,35,1697.3,5,4,1,0.404,1.49,1.5,2,11.0,0.416,80.1,2,543.0,30,5,6.5,52.9,79.8,0,8.4,0.51,1,1.6,-0.010000000000000009,54.824999999999996,18.1,66.35,4.576,0.2,Mid,6.298949246855942,False,False,False,False,False,True,False,False,True,False
Qatar,QAT,AFC,47,1448.5,3,4,3,0.392,0.57,1.71,2,8.4,0.295,70.4,1,282.0,19,7,3.9,42.0,70.9,0,8.8,0.3,1,1.2,-1.1400000000000001,42.21,14.842105263157896,56.45,2.4779999999999998,0.2,Developing,5.645446897643238,True,False,False,False,False,False,True,False,False,False
Nigeria,NGA,CAF,32,1566.1,4,5,1,0.433,1.29,1.41,2,6.3,0.324,74.0,0,225.0,23,5,2.7,41.6,78.1,0,9.7,0.41,0,1.3,-0.11999999999999988,39.68,9.782608695652174,59.849999999999994,2.0412,0.2,Mid,5.420534999272286,False,True,False,False,False,False,False,False,True,False
South Korea,KOR,AFC,19,1599.4,6,3,1,0.493,1.21,1.32,3,11.9,0.343,76.7,2,413.0,32,10,5.9,46.3,81.3,0,10.0,0.35,0,1.9,-0.1100000000000001,52.425000000000004,12.90625,63.8,4.0817000000000005,0.3,Strong,6.025865973825314,True,False,False,False,False,False,False,False,False,True
China,CHN,AFC,33,1550.5,1,4,5,0.386,0.53,1.77,1,8.5,0.326,70.7,0,220.0,18,8,4.7,45.0,74.9,0,10.5,0.57,0,0.8,-1.24,45.055,12.222222222222221,59.95,2.771,0.1,Mid,5.3981627015177525,True,False,False,False,False,False,False,False,True,False
Uruguay,URU,CONMEBOL,15,1712.2,7,2,1,0.608,1.58,0.85,3,16.7,0.37,83.1,3,490.0,35,19,7.7,57.1,89.2,0,7.2,0.56,1,2.2,0.7300000000000001,62.114999999999995,14.0,73.15,6.178999999999999,0.3,Strong,6.19644412779452,False,False,False,True,False,False,False,False,False,True
Morocco,MAR,CAF,25,1705.6,4,4,2,0.425,1.17,0.92,4,9.6,0.411,80.1,3,318.0,39,7,5.1,53.2,82.9,0,9.4,0.28,0,1.4,0.2499999999999999,50.13499999999999,8.153846153846153,68.05000000000001,3.9455999999999998,0.4,Mid,5.765191102784844,False,True,False,False,False,False,False,False,True,False
Jamaica,JAM,CONCACAF,34,1469.4,2,6,2,0.347,0.53,2.11,1,6.9,0.29,72.9,0,265.0,25,6,2.8,42.1,79.8,0,1.6,0.84,0,0.8,-1.5799999999999998,38.785,10.6,60.95,2.001,0.1,Mid,5.583496308781699,False,False,True,False,False,False,False,False,True,False
Serbia,SRB,UEFA,34,1593.9,6,4,0,0.441,1.13,0.83,2,13.2,0.37,76.1,3,386.0,26,8,5.3,49.4,76.6,0,5.7,0.71,1,1.8,0.29999999999999993,49.595,14.846153846153847,63.0,4.8839999999999995,0.2,Mid,5.958424693029782,False,False,False,False,False,True,False,False,True,False
Wales,WAL,UEFA,41,1505.3,1,6,3,0.239,1.07,1.86,0,8.8,0.256,71.4,2,204.0,29,5,2.6,46.5,71.0,0,6.0,0.67,1,0.6,-0.79,36.480000000000004,7.0344827586206895,58.75,2.2528,0.0,Developing,5.3230099791384085,False,False,False,False,False,True,True,False,False,False
Senegal,SEN,CAF,34,1697.2,5,3,2,0.547,1.59,0.89,3,11.9,0.351,80.2,3,437.0,35,12,6.5,49.0,83.3,0,8.4,0.48,1,1.7,0.7000000000000001,56.29,12.485714285714286,66.15,4.1769,0.3,Mid,6.082218910376446,False,True,False,False,False,False,False,False,True,False
Canada,CAN,CONCACAF,49,1556.0,1,5,4,0.322,1.22,2.0,0,8.4,0.292,75.2,1,314.0,21,9,5.0,48.3,75.3,1,0.9,0.77,0,0.7,-0.78,47.04,14.952380952380953,61.8,2.4528,0.0,Developing,5.752572638825633,False,False,True,False,False,False,True,False,False,False
France,FRA,UEFA,1,1889.4,9,2,0,0.652,1.94,0.94,5,17.6,0.49,87.7,5,987.0,56,21,7.1,57.2,85.8,0,7.4,0.52,1,2.4545454545454546,1.0,62.065000000000005,17.625,71.5,8.624,0.5,Elite,6.895682697747868,False,False,False,False,False,True,False,True,False,False
Germany,DEU,UEFA,5,1779.9,8,3,0,0.631,1.93,1.16,2,14.4,0.385,82.8,4,688.0,45,5,7.0,57.2,87.7,0,5.4,0.47,1,2.1818181818181817,0.77,59.79,15.28888888888889,72.45,5.5440000000000005,0.2,Elite,6.535241271013659,False,False,False,False,False,True,False,True,False,False
Belgium,BEL,UEFA,7,1664.0,8,3,0,0.551,1.48,0.79,4,16.6,0.368,85.7,4,659.0,46,18,8.4,59.1,87.6,0,7.9,0.64,1,2.1818181818181817,0.69,64.905,14.326086956521738,73.35,6.1088000000000005,0.4,Elite,6.492239835020471,False,False,False,False,False,True,False,True,False,False
France,FRA,UEFA,3,1997.3,6,1,3,0.659,2.39,1.0,4,17.4,0.537,83.2,3,1066.0,58,23,7.3,60.5,92.5,0,5.2,0.59,1,2.1,1.3900000000000001,61.260000000000005,18.379310344827587,76.5,9.3438,0.4,Elite,6.9726062513017535,False,False,False,False,False,True,False,True,False,False
Portugal,POR,UEFA,17,1663.9,5,3,2,0.673,1.45,0.79,2,14.7,0.436,84.2,2,804.0,44,16,6.2,50.3,80.2,0,8.5,0.61,0,1.7,0.6599999999999999,57.900000000000006,18.272727272727273,65.25,6.409199999999999,0.2,Strong,6.690842277418564,False,False,False,False,False,True,False,False,False,True
Argentina,ARG,CONMEBOL,4,1791.6,6,0,4,0.746,2.43,0.92,3,18.6,0.463,84.7,2,1066.0,56,10,8.4,58.9,92.2,0,6.4,0.62,0,2.2,1.5100000000000002,66.505,19.035714285714285,75.55,8.6118,0.3,Elite,6.9726062513017535,False,False,False,True,False,False,False,True,False,False
Netherlands,NED,UEFA,9,1791.5,7,2,1,0.699,2.16,0.88,2,16.9,0.447,79.5,2,710.0,55,7,7.0,52.8,82.2,0,5.7,0.68,0,2.2,1.2800000000000002,59.315000000000005,12.909090909090908,67.5,7.5543,0.2,Elite,6.566672429803241,False,False,False,False,False,True,False,True,False,False
Poland,POL,UEFA,28,1614.0,6,3,1,0.435,1.28,1.33,2,14.0,0.408,77.2,1,317.0,39,11,5.8,51.4,83.8,0,6.1,0.49,0,1.9,-0.050000000000000044,51.67,8.128205128205128,67.6,5.712,0.2,Mid,5.762051382780177,False,False,False,False,False,True,False,False,True,False
Croatia,CRO,UEFA,9,1782.3,6,3,1,0.594,1.98,0.9,3,16.8,0.364,85.3,2,790.0,42,17,6.9,57.1,83.5,0,7.7,0.62,0,1.9,1.08,59.94499999999999,18.80952380952381,70.3,6.1152,0.3,Elite,6.673297967767654,False,False,False,False,False,True,False,True,False,False
Uruguay,URU,CONMEBOL,12,1694.2,7,3,0,0.607,1.59,1.16,5,15.1,0.448,80.1,4,835.0,53,19,8.0,51.5,87.4,0,4.6,0.75,0,2.1,0.43000000000000016,62.105,15.754716981132075,69.45,6.7648,0.5,Strong,6.728628613084702,False,False,False,True,False,False,False,False,False,True
Germany,DEU,UEFA,6,1764.1,8,1,1,0.572,1.63,0.61,2,16.8,0.394,83.4,3,751.0,38,8,7.6,50.8,87.1,0,5.3,0.62,1,2.5,1.02,61.51,19.763157894736842,68.94999999999999,6.6192,0.2,Elite,6.62273632394984,False,False,False,False,False,True,False,True,False,False
Netherlands,NED,UEFA,6,1828.2,7,1,2,0.572,2.01,0.61,4,16.1,0.398,84.7,4,723.0,36,18,6.9,61.3,88.5,0,7.1,0.7,1,2.3,1.4,59.515,20.083333333333332,74.9,6.407800000000001,0.4,Elite,6.584791392385716,False,False,False,False,False,True,False,True,False,False
Algeria,ALG,CAF,30,1590.2,4,7,0,0.383,1.23,2.06,1,9.8,0.282,72.2,1,361.0,29,2,2.7,40.3,73.7,0,10.5,0.39,0,1.0909090909090908,-0.8300000000000001,38.55,12.448275862068966,57.0,2.7636,0.1,Mid,5.8916442118257715,False,True,False,False,False,False,False,False,True,False
Sweden,SWE,UEFA,32,1533.8,5,3,2,0.552,1.44,0.89,1,13.6,0.416,75.3,3,394.0,38,9,4.4,52.5,77.0,0,7.0,0.47,0,1.7,0.5499999999999999,47.275,10.368421052631579,64.75,5.6575999999999995,0.1,Mid,5.978885764901122,False,False,False,False,False,True,False,False,True,False
Serbia,SRB,UEFA,19,1602.2,4,5,1,0.496,1.42,1.0,1,12.8,0.414,80.4,3,394.0,33,3,4.3,51.3,79.8,0,5.8,0.55,1,1.3,0.41999999999999993,48.15,11.93939393939394,65.55,5.2992,0.1,Strong,5.978885764901122,False,False,False,False,False,True,False,False,False,True
Spain,ESP,UEFA,1,1799.3,6,1,3,0.815,2.16,0.59,4,18.1,0.52,84.4,5,1035.0,47,18,7.4,66.7,91.2,0,7.5,0.54,1,2.1,1.5700000000000003,63.589999999999996,22.02127659574468,78.95,9.412,0.4,Elite,6.943122422819428,False,False,False,False,False,True,False,True,False,False
Ghana,GHA,CAF,34,1532.2,4,7,0,0.404,0.86,1.84,0,6.8,0.281,75.1,2,317.0,27,3,2.8,49.8,71.8,0,10.2,0.45,0,1.0909090909090908,-0.9800000000000001,40.12499999999999,11.74074074074074,60.8,1.9108,0.0,Mid,5.762051382780177,False,True,False,False,False,False,False,False,True,False
Spain,ESP,UEFA,6,1853.1,9,0,1,0.78,2.0,0.81,7,16.5,0.431,88.9,3,1134.0,65,12,8.0,59.8,85.4,0,8.5,0.62,0,2.8,1.19,66.91499999999999,17.446153846153845,72.6,7.1114999999999995,0.7,Elite,7.034387929915503,False,False,False,False,False,True,False,True,False,False
Uruguay,URU,CONMEBOL,10,1767.9,7,3,0,0.705,1.57,0.97,5,16.2,0.381,84.4,3,522.0,46,18,8.4,52.2,84.9,0,5.0,0.77,1,2.1,0.6000000000000001,65.99,11.347826086956522,68.55000000000001,6.1722,0.5,Elite,6.259581464064923,False,False,False,True,False,False,False,True,False,False
Honduras,HON,CONCACAF,29,1419.1,1,6,3,0.442,0.71,1.86,2,8.9,0.304,72.8,2,282.0,25,10,2.3,41.7,73.4,0,2.6,0.81,1,0.6,-1.1500000000000001,37.949999999999996,11.28,57.550000000000004,2.7056,0.2,Mid,5.645446897643238,False,False,True,False,False,False,False,False,True,False
Poland,POL,UEFA,22,1662.0,3,5,2,0.556,1.49,1.11,3,13.3,0.325,73.5,1,546.0,33,7,6.8,45.4,79.5,0,8.7,0.54,0,1.1,0.3799999999999999,55.085,16.545454545454547,62.45,4.322500000000001,0.3,Mid,6.304448802421981,False,False,False,False,False,True,False,False,True,False
Morocco,MAR,CAF,35,1650.9,4,3,3,0.528,1.61,1.12,3,11.6,0.341,77.7,3,259.0,37,6,6.1,47.2,84.7,0,7.4,0.45,0,1.5,0.49,53.825,7.0,65.95,3.9556,0.3,Mid,5.560681631015528,False,True,False,False,False,False,False,False,True,False
Ecuador,ECU,CONMEBOL,22,1650.3,4,3,3,0.566,1.61,1.34,3,13.7,0.383,78.7,3,532.0,38,7,6.0,51.3,76.6,0,6.4,0.63,0,1.5,0.27,54.205,14.0,63.949999999999996,5.2471,0.3,Mid,6.278521424165844,False,False,False,True,False,False,False,False,True,False
Turkey,TUR,UEFA,48,1513.4,1,6,3,0.363,1.11,2.13,2,10.0,0.327,75.6,2,356.0,15,8,3.0,46.5,76.3,0,7.4,0.62,0,0.6,-1.0199999999999998,40.589999999999996,23.733333333333334,61.4,3.27,0.2,Developing,5.877735781779639,False,False,False,False,False,True,True,False,False,False
Iran,IRN,AFC,33,1414.6,3,7,0,0.361,1.11,1.7,0,10.3,0.293,73.4,0,346.0,26,5,3.4,45.8,76.1,0,12.6,0.58,1,0.9,-0.5899999999999999,41.2,13.307692307692308,60.949999999999996,3.0179,0.0,Mid,5.849324779946859,True,False,False,False,False,False,False,False,True,False
Germany,DEU,UEFA,11,1727.6,8,3,0,0.703,1.59,1.16,4,13.0,0.412,80.4,3,644.0,50,9,6.4,53.7,85.4,0,6.2,0.63,1,2.1818181818181817,0.43000000000000016,57.57000000000001,12.88,69.55000000000001,5.356,0.4,Strong,6.4692503167957724,False,False,False,False,False,True,False,False,False,True
Brazil,BRA,CONMEBOL,7,1969.1,8,0,2,0.792,1.91,0.74,4,19.5,0.464,83.6,4,975.0,63,20,8.9,67.4,93.2,0,7.5,0.61,1,2.6,1.17,68.33,15.476190476190476,80.30000000000001,9.048,0.4,Elite,6.883462586413092,False,False,False,True,False,False,False,True,False,False
Italy,ITA,UEFA,17,1813.1,8,1,1,0.593,1.64,1.04,5,14.1,0.437,79.7,3,631.0,52,9,6.0,58.8,82.2,0,5.4,0.46,1,2.5,0.5999999999999999,54.824999999999996,12.134615384615385,70.5,6.1617,0.5,Strong,6.448889394146858,False,False,False,False,False,True,False,False,False,True
Netherlands,NED,UEFA,17,1660.5,5,2,3,0.651,1.94,0.87,2,15.6,0.44,85.9,3,492.0,40,14,8.2,59.3,86.5,0,7.4,0.57,0,1.8,1.0699999999999998,65.275,12.3,72.9,6.864,0.2,Strong,6.20050917404269,False,False,False,False,False,True,False,False,False,True
Germany,DEU,UEFA,17,1743.4,6,1,3,0.659,1.62,0.96,4,14.7,0.392,81.3,3,471.0,46,6,6.6,61.9,83.3,0,7.3,0.48,1,2.1,0.6600000000000001,58.144999999999996,10.23913043478261,72.6,5.7623999999999995,0.4,Strong,6.156978985585555,False,False,False,False,False,True,False,False,False,True
Algeria,ALG,CAF,50,1551.2,1,7,2,0.445,0.88,1.58,2,8.0,0.241,75.3,0,352.0,35,4,4.2,40.9,71.3,0,10.3,0.48,0,0.5,-0.7000000000000001,45.505,10.057142857142857,56.099999999999994,1.928,0.2,Developing,5.8664680569332965,False,True,False,False,False,False,True,False,False,False
Ukraine,UKR,UEFA,29,1476.2,2,6,2,0.338,0.74,1.6,2,10.7,0.342,71.1,1,289.0,19,4,2.7,49.3,78.2,0,6.5,0.71,1,0.8,-0.8600000000000001,37.715,15.210526315789474,63.75,3.6594,0.2,Mid,5.66988092298052,False,False,False,False,False,True,False,False,True,False
Italy,ITA,UEFA,9,1654.1,7,2,1,0.609,2.18,0.98,2,14.9,0.412,81.2,4,645.0,48,20,5.0,52.1,84.0,0,5.6,0.56,0,2.2,1.2000000000000002,52.010000000000005,13.4375,68.05,6.1388,0.2,Elite,6.470799503782602,False,False,False,False,False,True,False,True,False,False
Sweden,SWE,UEFA,23,1712.5,6,5,0,0.587,1.61,0.99,3,12.2,0.326,78.3,3,296.0,43,7,6.3,50.1,84.9,0,5.2,0.66,0,1.6363636363636365,0.6200000000000001,55.324999999999996,6.883720930232558,67.5,3.9772,0.3,Mid,5.6937321388027,False,False,False,False,False,True,False,False,True,False
Colombia,COL,CONMEBOL,16,1761.2,8,3,0,0.59,1.58,0.7,5,14.6,0.405,79.9,4,630.0,37,11,7.1,55.8,83.9,0,7.9,0.61,0,2.1818181818181817,0.8800000000000001,58.714999999999996,17.027027027027028,69.85,5.913,0.5,Strong,6.447305862541213,False,False,False,True,False,False,False,False,False,True
Paraguay,PAR,CONMEBOL,48,1552.1,2,7,1,0.355,0.76,2.03,0,10.9,0.332,76.7,0,220.0,25,5,5.0,41.0,71.5,0,5.3,0.73,0,0.7,-1.2699999999999998,47.894999999999996,8.8,56.25,3.6188000000000002,0.0,Developing,5.3981627015177525,False,False,False,True,False,False,True,False,False,False
USA,USA,CONCACAF,24,1529.3,6,2,2,0.463,1.48,1.11,1,10.4,0.412,75.8,1,498.0,26,10,6.7,52.0,75.7,1,1.8,0.74,0,2.0,0.3699999999999999,54.61,19.153846153846153,63.85,4.2848,0.1,Mid,6.212606095751519,False,False,True,False,False,False,False,False,True,False
Netherlands,NED,UEFA,17,1656.8,7,3,0,0.562,1.46,0.61,2,14.5,0.4,82.2,4,838.0,53,11,7.9,54.3,85.5,0,8.3,0.47,0,2.1,0.85,62.040000000000006,15.81132075471698,69.9,5.800000000000001,0.2,Strong,6.732210706467206,False,False,False,False,False,True,False,False,False,True
Portugal,POR,UEFA,12,1762.4,6,3,1,0.552,1.6,0.76,2,15.2,0.419,78.1,2,579.0,38,16,6.9,51.4,89.2,0,7.1,0.63,0,1.9,0.8400000000000001,57.005,15.236842105263158,70.3,6.368799999999999,0.2,Strong,6.363028103540465,False,False,False,False,False,True,False,False,False,True
Senegal,SEN,CAF,20,1581.9,5,3,2,0.478,1.11,0.99,4,9.6,0.324,80.2,1,336.0,31,3,4.8,51.0,77.2,0,10.9,0.47,0,1.7,0.1200000000000001,49.650000000000006,10.838709677419354,64.1,3.1104,0.4,Strong,5.820082930352362,False,True,False,False,False,False,False,False,False,True
Netherlands,NED,UEFA,13,1818.7,5,1,4,0.568,1.95,0.66,3,13.1,0.416,84.9,2,615.0,39,17,7.7,57.3,81.5,0,5.4,0.62,1,1.9,1.29,62.345,15.76923076923077,69.4,5.449599999999999,0.3,Strong,6.423246963533519,False,False,False,False,False,True,False,False,False,True
Australia,AUS,AFC,27,1678.6,6,2,2,0.598,1.07,1.08,2,12.3,0.337,79.2,2,435.0,26,11,6.6,50.9,83.5,0,13.0,0.59,0,2.0,-0.010000000000000009,56.79999999999999,16.73076923076923,67.2,4.1451,0.2,Mid,6.077642243349034,True,False,False,False,False,False,False,False,True,False
